Var 4,Var 8,Var 12,Var 16,Var 20,Var 24,Var 28,Var 32,Var 36,Var 40,Var 44,Var 48,Var 52,Var 56,Var 60,Var 64,Var 68,Var 72,Var 76,Var 80,Var 84,Var 88,Var 92,Var 96,Var 100,Var 104,Var 112,Var 120,Var 128,Var 136,Var 144,Var 152,Var 160,Var 168,Var 176,Var 184,Var 192,Var 200,Var 208,Var 216,Var 224,Var 232,Var 240,Var 248,Var 256,Var 264,Var 272,Var 280,Var 288,Var 296,Var 304,Var 312,Var 320,Var 328,Var 336,Var 344,Var 352,Var 360,Var 368,Var 376,Var 384,Var 392,Var 400,Var 408,Var 416,Var 424,Var 432,Var 440,Var 448,Var 456,Var 464,Var 472,Var 480,Var 488,Var 496,Var 504,Var 508,Var 512,Var 516,Var 520,Var 524,Var 528,Var 532,Var 536,Var 540,Var 544,Var 548,Var 552,Var 556,Var 560,Var 564,Var 568,Var 572,Var 576,Var 580,Var 584,Var 588,Var 592,Var 596
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,172.1747,175.2992,178.8671,181.0933,186.814,189.1884,176.3638,141.4334,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,174.2199,177.9998,182.6143,188.6932,195.8647,203.8394,193.7308,142.3168,86.97049,69.78647,97.02798,124.8146,143.8544,143.9833,122.4236,98.2836,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,175.834,180.0222,185.1697,192.7637,204.7177,221.3893,213.551,143.451,65.04856,41.84872,88.6381,126.8027,156.8323,160.0099,126.4283,96.16506,75.16536,75.17004,81.41397,75.26917,69.58292,71.27089,100.4594,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,176.9888,181.353,186.1269,193.1156,207.695,232.7871,226.7997,144.3427,50.41278,19.90219,86.65481,128.2323,165.2973,174.5234,128.3246,95.09254,65.43548,68.98479,80.28249,74.50937,58.14615,65.36491,100.929,118.0605,128.8036,132.0606,142.6001,133.2708,128.4621,151.2005,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,178.9781,182.402,186.4834,190.2377,199.6745,220.0018,215.0041,144.8399,62.22643,36.1838,92.66894,128.277,161.2011,167.0046,124.412,94.24141,64.1274,68.3428,80.73201,71.28555,27.63839,93.88196,99.77331,119.183,136.9235,140.0903,143.6091,131.3154,125.9551,156.4053,173.06,140.4346,146.6151,121.0962,95.55419,67.2822,80.17156,98.43493,119.5633,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,179.2419,183.6058,187.869,189.2688,190.2467,196.2733,191.0398,147.6803,89.90145,80.63934,102.7492,127.2072,152.7509,158.8873,115.079,94.6179,73.74664,74.49063,83.45693,75.59968,30.96263,151.5235,87.10399,121.2304,150.8085,145.2685,150.0602,135.9241,124.877,154.1667,178.8216,143.0386,140.1315,110.4063,91.30528,84.08126,84.38574,97.50688,114.1201,153.6655,197.2744,253.5573,247.8497,201.2885,-9999.0,199.7771,181.3696,127.2029,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,177.777,182.501,187.8745,189.1384,185.2209,182.4019,177.4159,150.0112,109.825,106.3204,109.4966,125.643,148.438,167.6196,99.89562,93.21682,80.65863,80.2941,87.92747,85.71055,75.46718,123.2436,99.24312,126.3762,154.9455,144.8241,158.3703,137.0563,124.0417,146.2314,165.161,150.3617,142.3787,99.39011,81.74627,89.1205,89.21243,95.29996,107.0798,149.041,196.518,254.6468,254.9678,228.7223,203.8427,203.9271,184.0946,135.1423,53.20867,101.6721,141.7971,156.1216,155.5083,177.5659,201.6869,241.3812,234.5138,225.945,222.2592,217.0358,214.737,215.9486,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,174.6035,179.0363,182.3825,183.085,179.3209,174.0051,175.9115,152.6933,119.4193,111.0292,111.582,122.7202,139.8413,141.2252,95.68085,86.484,76.15839,84.99676,93.52911,97.94905,102.2102,117.4681,117.7867,129.961,145.199,144.3071,147.6907,134.8618,99.5787,143.6406,167.1876,157.9831,156.3415,109.7931,55.3678,80.68966,92.1667,92.67669,93.42825,142.4724,202.1781,231.8955,262.7764,250.2808,-9999.0,208.0983,191.1354,152.5591,102.0291,123.8366,144.4086,153.8562,162.1266,181.3178,222.6973,259.8138,245.5383,229.4623,221.676,214.0704,210.5266,213.7845,216.6925,219.1211,214.3983,200.2368,174.296,157.6586,182.7716,204.8229,215.9734,229.488,244.2004,261.5872,261.2688,238.4467,219.6239,226.1688,252.2221
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,170.2008,173.5951,175.7621,177.569,177.9997,172.9792,183.6271,154.3445,125.8198,112.9847,113.5731,121.1777,128.5733,120.2682,88.02239,74.91631,64.55216,84.96132,99.01378,112.7703,121.1207,120.7081,128.2531,135.8862,143.004,143.6124,143.5642,133.2402,90.88754,150.9351,188.4419,172.1075,170.0336,144.7146,46.93932,81.49554,95.99724,89.21093,68.68076,131.4541,213.8525,216.3728,250.4828,240.8988,220.447,213.6253,200.1324,173.8341,145.8,145.5757,144.7983,147.9652,163.8559,186.8924,212.8785,256.4445,249.2201,229.8829,221.197,208.9483,199.7586,212.6123,218.0167,219.8261,218.3174,208.061,188.3157,177.2234,196.1835,203.9715,212.4873,224.4954,234.9922,242.5314,240.5878,231.1723,223.7886,233.5923,269.7187
